,Toilet Name,Area,Location,Provider,Latitude,Longitude,Eastings,Northings,Postcode,Grid Ref,Location Notes:,24 hours,Open,Closed,Days of the Week open,Open Season - Summer,Closed Season-Winter,Time Notes:,Male,Female,Unisex,Disabled,RADAR,Baby Change,Location of Baby Change,Attendant,Automatic?,Special Provisons,Car Parking, Cost ,Report Problems,Date,Data Collected from,
Northumberland,/,Berwick-upon-Tweed,The Promenade,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Haggerston,Haggerston Caravan park layby on A1,/,/,/,/,/,/,/,/,/,09.00 - 20.00,20.00 - 09.00,/,/,/,Open: March to October,1,1,0,/,/,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Holy Island,Green Lane car park,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Holy Island,Crossgates,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,/,/,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Seahouses,Main car park,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,1,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Wooler,Bus Station car park,/,/,/,/,/,/,/,/,1,/,/,/,/,/,Open: March to October,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Blyth,"Market Place, Byth",/,/,/,/,/,/,/,/,/,/,/,/,/,/,Open all year with reduced facilities October to April,1,1,0,1,Yes,1,/,1,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Blyth,Keel Row,/,/,/,/,/,/,/,/,1,/,/,/,/,/,/,1,1,0,1,Yes,1,/,1,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Blyth,Ridley Park,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,1,1,0,1,Yes,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
Northumberland,/,Blyth,Broadway Playing Fields,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,1,1,0,0,No,0,/,0,/,/,/, No Charge ,/,15/03/2014,http://www.northumberland.gov.uk/default.aspx?page=3178#parish,
